"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 2 2 0 0.51 18.3736457006871 2.53746487065137 0 15.8361808300357
2 0 0 "M" 0 1 3 0 0.553333 -6.4715056211405 -4.01999511199004 0 -2.45151050915046
3 0 0 "M" 0 2 1 0 0.586667 8.71842590664273 2.06330157299984 0 6.65512433364289
4 0 0 "M" 0 2 1 0 0.573333 0.375665833461955 -3.79349425665825 0 4.1691600901202
5 0 0 "M" 0 2 1 0 0.493333 -8.06313756253531 -15.4268986340148 0 7.36376107147949
6 0 0 "M" 0 3 2 0 0.53 14.3594470449485 4.99629607526846 0 9.36315096968
7 0 0 "M" 0 3 2 0 0.573333 -19.2775364706397 -15.2380303331118 0 -4.03950613752789
8 0 0 "M" 0 2 0 0 0.613333 26.9911482006315 3.04810312381513 0 23.9430450768164
9 0 0 "M" 0 3 1 0 0.583333 19.4404095570633 -14.4265177226022 0 33.8669272796654
10 0 0 "M" 0 3 3 0 0.503333 18.8140707874685 12.8917876395974 0 5.92228314787111
11 0 0 "M" 0 1 1 0 0.566667 25.7085071354198 -4.0855790367516 0 29.7940861721714
12 0 0 "M" 0 1 2 0 0.53 -16.5634199354345 -19.5325217811192 0 2.96910184568469
13 0 0 "M" 0 1 1 0 0.486667 -0.615670020459772 -10.1266118893158 0 9.51094186885607
14 0 0 "M" 0 1 4 0 0.486667 37.3595489594941 2.59618110297886 0 34.7633678565153
15 0 0 "M" 0 1 2 0 0.583333 13.7731841872769 3.41366615485497 0 10.3595180324219
16 0 0 "M" 0 1 2 0 0.533333 10.7089794819076 6.07589388166241 0 4.6330856002452
17 0 0 "M" 0 1 1 0 0.553333 -0.408469176078273 -7.67763452999757 0 7.2691653539193
18 0 0 "M" 0 2 3 0 0.56 45.8774923018272 18.4206313055926 0 27.4568609962346
19 0 0 "M" 0 2 1 0 0.513333 6.79288244965254 0.952159602134044 0 5.8407228475185
20 0 0 "M" 0 0 2 0 0.556667 -2.73825025248345 -15.6906168196808 0 12.9523665671974
21 0 0 "M" 0 2 2 0 0.56 -11.274953553213 -20.9394175668632 0 9.66446401365012
22 0 0 "M" 0 0 2 0 0.603333 17.5746824410254 -7.54270045854859 0 25.117382899574
23 0 0 "M" 0 0 3 0 0.556667 7.58770136689133 0.207977840814687 0 7.37972352607664
24 0 0 "M" 0 3 2 0 0.52 -1.76041784288942 -13.0972067068064 0 11.336788863917
25 0 0 "M" 0 3 1 0 0.513333 23.1290468081666 12.2637070141083 0 10.8653397940583
26 0 0 "M" 0 3 1 0 0.56 46.3116985965081 20.8795853523882 0 25.4321132441199
27 0 0 "M" 0 2 2 0 0.586667 21.330925916527 3.44596732175297 0 17.884958594774
28 0 0 "M" 0 3 1 0 0.616667 -9.88648916626666 -13.9004254419423 0 4.01393627567568
29 0 0 "M" 0 3 2 0 0.566667 24.434652434304 8.75109023142588 0 15.6835622028781
30 0 0 "M" 0 1 1 0 0.556667 10.4682179819863 2.17336130396523 0 8.29485667802103
31 0 0 "F" 0 2 1 0 0.566667 17.1882533727728 8.31527575171666 0 8.87297762105619
32 0 0 "F" 0 0 1 0 0.533333 29.0663419932492 10.8054755527779 0 18.2608664404714
33 0 0 "F" 0 0 3 0 0.516667 8.47173445154365 15.8142712692427 0 -7.34253681769901
34 0 0 "F" 0 1 1 0 0.5 -15.7962772714781 -4.04014105651822 0 -11.7561362149599
35 0 0 "F" 0 1 1 0 0.626667 17.6332943544658 -0.074503206461966 0 17.7077975609278
36 0 0 "F" 0 2 0 0 0.533333 3.04982558939476 -4.58473452458884 0 7.63456011398361
37 0 0 "F" 0 1 0 0 0.556667 22.3662175383596 5.07725432451013 0 17.2889632138495
38 0 0 "F" 0 2 1 0 0.556667 34.2657372562135 9.9101747701448 0 24.3555624860687
39 0 0 "F" 0 1 2 0 0.573333 2.79468893730165 -3.32763446436077 0 6.12232340166242
40 0 0 "F" 0 1 2 0 0.553333 6.70569259854345 -8.55434344422173 0 15.2600360427652
41 0 0 "F" 0 1 2 0 0.48 3.86346111853477 3.43383062383181 0 0.429630494702962
42 0 0 "F" 0 1 2 0 0.563333 4.48033433688935 -6.91770522895777 0 11.3980395658471
43 0 0 "F" 0 2 1 0 0.543333 -9.88752817256652 -8.88877055903327 0 -0.998757613533257
44 0 0 "F" 0 2 1 0 0.606667 -9.47143439740297 -30.1635773129093 0 20.6921429155063
45 0 0 "F" 0 1 1 0 0.553333 5.33468950334326 -0.427596998878567 0 5.76228650222183
46 0 0 "F" 0 1 0 0 0.57 22.9228752894836 12.8369919110502 0 10.0858833784334
47 0 0 "F" 0 3 0 0 0.576667 25.7069229533334 4.74414333574378 0 20.9627796175896
48 0 0 "F" 0 0 1 0 0.543333 -2.00325094218635 -15.3548250694265 0 13.3515741272402
49 0 0 "F" 0 2 1 0 0.576667 16.0152661438285 7.00820059400647 0 9.00706554982205
50 0 0 "F" 0 0 3 0 0.633333 32.8474951251469 11.0089580511138 0 21.8385370740331
51 0 0 "F" 0 2 1 0 0.57 16.8719550417462 4.63330742474958 0 12.2386476169967
52 0 0 "F" 0 1 1 0 0.576667 22.4520379282279 -1.08135001201142 0 23.5333879402394
53 0 0 "F" 0 1 2 0 0.533333 17.5926113581878 7.44077867222909 0 10.1518326859587
54 0 0 "F" 0 2 0 0 0.516667 8.39908269203234 -7.32892993651726 0 15.7280126285496
55 0 0 "F" 0 1 0 0 0.553333 10.946125580234 -2.43556586654818 0 13.3816914467822
56 0 0 "F" 0 0 3 0 0.583333 25.3157420098504 7.46668275512041 0 17.8490592547299
57 0 0 "F" 0 1 2 0 0.54 2.12888478224679 -3.59594583062792 0 5.72483061287471
58 0 0 "F" 0 1 2 0 0.516667 6.98111867242864 -6.00212041773649 0 12.9832390901651
59 0 0 "F" 0 1 1 0 0.51 14.173044205331 -8.03885929447612 0 22.2119034998071
60 0 0 "F" 0 1 2 0 0.51 10.9564739372313 2.90277521164168 0 8.05369872558962
61 0 0 "F" 0 1 1 0 0.56 -6.03188738659915 -17.3244879558134 0 11.2926005692142
62 0 0 "F" 0 0 1 0 0.546667 -4.33383810557255 -7.15128904576699 0 2.81745094019444
63 0 0 "F" 0 2 0 0 0.54 2.70471313380444 -4.26053463836859 0 6.96524777217303
64 0 0 "F" 0 1 2 0 0.54 -7.04243427762742 -12.9252399070261 0 5.88280562939871
65 0 0 "F" 0 0 1 0 0.526667 27.1322368421441 3.77965212506449 0 23.3525847170796
66 0 0 "F" 0 1 1 0 0.553333 10.6979165068778 -2.45069602209406 0 13.1486125289719
67 0 0 "F" 0 1 2 0 0.566667 0.0126957481467898 -3.6168663541179 0 3.62956210226469
68 0 0 "F" 0 1 2 0 0.546667 38.0791116048027 9.8654966724481 0 28.2136149323546
69 0 0 "F" 0 2 1 0 0.57 19.4935998794826 -8.01262018229123 0 27.5062200617738
70 0 0 "F" 0 0 3 0 0.603333 15.7385555480853 5.09696007628182 0 10.6415954718035
71 0 0 "F" 0 0 1 0 0.573333 30.6488771251737 12.7482220693742 0 17.9006550557995
72 0 0 "F" 0 1 0 0 0.536667 8.60879804498679 -2.82140246615525 0 11.4302005111421
73 0 0 "F" 0 2 1 0 0.583333 33.0762344424579 4.75109592033069 0 28.3251385221272
74 0 0 "F" 0 1 1 0 0.51 3.17356085762494 -3.96646795888698 0 7.14002881651192
75 0 0 "F" 0 1 1 0 0.593333 21.7312372038206 5.06411313961129 0 16.6671240642093
76 0 0 "F" 0 1 0 0 0.523333 30.2671498446159 7.94634056325243 0 22.3208092813635
77 0 0 "F" 0 1 2 0 0.573333 -5.69010876624227 -14.8216176619271 0 9.13150889568485
78 0 0 "F" 0 2 1 0 0.556667 0.413752017420805 4.57039014600705 0 -4.15663812858625
79 0 0 "F" 0 1 2 0 0.576667 1.50205604583161 -15.9403993947926 0 17.4424554406242
80 0 0 "F" 0 2 1 0 0.593333 20.2552168558749 -9.29325840086319 0 29.5484752567381
81 0 0 "F" 0 3 0 0 0.536667 -11.7603726584462 1.84522736303132 0 -13.6056000214775
82 0 0 "F" 0 1 2 0 0.54 14.918630452078 4.25282081893175 0 10.6658096331463
83 0 0 "F" 0 2 1 0 0.55 11.2685929737874 2.10135625575048 0 9.16723671803694
84 0 0 "F" 0 3 0 0 0.593333 9.27997155431285 -1.47807925584115 0 10.758050810154
85 0 0 "F" 0 1 0 0 0.483333 21.5655794622761 6.64128020201428 0 14.9242992602618
86 0 0 "F" 0 1 2 0 0.543333 -3.47924774972213 -12.0897997351658 0 8.61055198544368
87 0 0 "F" 0 1 0 0 0.573333 7.66781621652552 1.45055988910655 0 6.21725632741897
88 0 0 "F" 0 2 1 0 0.51 25.6607718828375 6.53340127641291 0 19.1273706064246
89 0 0 "F" 0 1 2 0 0.543333 -17.7253204552156 -26.4304427222742 0 8.70512226705855
90 0 0 "F" 0 1 2 0 0.543333 19.7025632747249 14.4281466108075 0 5.2744166639174
91 0 0 "F" 0 1 2 0 0.563333 32.3346447112099 25.6281267934121 0 6.70651791779778
92 0 0 "F" 0 0 1 0 0.566667 -1.83723769851179 -7.72368886475808 0 5.8864511662463
93 0 0 "F" 0 2 1 0 0.566667 4.94669471050533 3.26772327927486 0 1.67897143123048
94 0 0 "F" 0 0 1 0 0.54 34.8796981529419 10.4402167344412 0 24.4394814185006
95 0 0 "F" 0 0 3 0 0.516667 32.5961227748991 13.1820837743083 0 19.4140390005908
96 0 0 "F" 0 2 1 0 0.54 6.79778971556915 -8.68941635923418 0 15.4872060748033
97 0 0 "F" 0 2 0 0 0.526667 25.0070095594302 3.09860728429242 0 21.9084022751378
98 0 0 "F" 0 1 1 0 0.52 15.9682167615737 2.03563950524833 0 13.9325772563254
99 0 0 "F" 0 1 2 0 0.516667 -11.519347204306 1.57052663150179 0 -13.0898738358078
100 0 0 "F" 0 3 0 0 0.586667 8.59448140314605 -15.1039037720966 0 23.6983851752427
101 23 89 "F" 1 0 0 0 0.553333 18.3399741990793 16.5905593831496 0 1.74941481592967
102 23 91 "F" 1 0 0 0 0.58 -5.39405009037422 -0.248982974886782 0 -5.14506711548743
103 23 41 "F" 1 0 2 0 0.55 -2.52726193146257 -10.1062678533133 0 7.57900592185078
104 3 88 "M" 1 0 0 0 0.573333 17.6304644002703 7.3324835653702 0 10.2979808349001
105 3 47 "M" 1 3 1 0 0.583333 24.4403728176639 -1.06206311636156 0 25.5024359340255
106 3 77 "F" 1 0 0 0 0.513333 -13.0553231034317 -15.4942774695419 0 2.43895436611019
107 14 62 "F" 1 1 1 0 0.53 33.7444091848916 14.6276631688995 0 19.1167460159921
108 14 87 "M" 1 0 0 0 0.606667 27.5404743765943 0.0283720303250022 0 27.5121023462693
109 14 65 "F" 1 1 1 0 0.553333 13.2142584344672 -14.9294769451994 0 28.1437353796665
110 12 39 "F" 1 2 0 0 0.596667 -16.2572583764851 -14.4539651888103 0 -1.80329318767483
111 12 33 "F" 1 1 1 0 0.506667 -11.9638382806823 -10.1233088013148 0 -1.84052947936749
112 12 49 "M" 1 2 2 0 0.596667 -10.6079747405416 -7.33311411984586 0 -3.27486062069574
113 15 63 "M" 1 0 0 0 0.523333 8.00778987620896 -6.89846124310554 0 14.9062511193145
114 15 53 "F" 1 1 1 0 0.55 9.28468299367031 -2.20032254778065 0 11.485005541451
115 15 52 "F" 1 0 0 0 0.583333 20.8763374382533 1.56250909216712 0 19.3138283460861
116 10 80 "M" 1 1 4 0 0.563333 -1.13915831108648 -8.46646089670853 0 7.32730258562205
117 10 71 "F" 1 1 1 0 0.526667 -8.99702377878804 -16.6514010746779 0 7.65437729588982
118 10 56 "F" 1 0 0 0 0.553333 8.75834895477612 2.56202442604367 0 6.19632452873245
119 4 97 "M" 1 1 4 0 0.536667 29.4201934461266 20.9215368576078 0 8.49865658851878
120 4 51 "F" 1 0 0 0 0.6 -6.13440869174925 -14.6546750363498 0 8.52026634460052
121 4 35 "M" 1 1 4 0 0.573333 4.35853304345221 -17.3755713461926 0 21.7341043896448
122 16 67 "F" 1 0 0 0 0.53 4.38029225078269 -3.32211715258409 0 7.70240940336678
123 16 61 "M" 1 0 0 0 0.526667 16.6837534470224 7.29874655844911 0 9.38500688857329
124 16 60 "F" 1 0 0 0 0.546667 1.6642696842511 -3.53084289330412 0 5.19511257755522
125 5 78 "F" 1 0 0 0 0.516667 -16.1662291584494 -14.2320751117383 0 -1.93415404671109
126 5 72 "M" 1 2 3 0 0.503333 27.550722967858 8.57201311842065 0 18.9787098494373
127 5 36 "M" 1 3 2 0 0.573333 15.6982940930049 5.64422390135027 0 10.0540701916546
128 19 70 "F" 1 1 1 0 0.53 -10.3683193356322 -3.68800049689479 0 -6.68031883873738
129 19 31 "M" 1 0 0 0 0.53 -1.89901537597605 -0.595084463990748 0 -1.3039309119853
130 19 54 "M" 1 2 3 0 0.533333 27.6089315011356 11.9667884881765 0 15.642143012959
131 24 64 "F" 1 0 0 0 0.556667 -1.53588670539892 -8.08160871571486 0 6.54572201031595
132 24 81 "M" 1 0 0 0 0.55 -6.3133161321989 0.42542950895743 0 -6.73874564115633
133 9 44 "M" 1 2 2 0 0.623333 44.0030479590708 11.7057944177577 0 32.2972535413131
134 9 84 "M" 1 0 0 0 0.54 40.5107872404348 4.38107861297546 0 36.1297086274594
135 22 94 "F" 1 0 0 0 0.586667 21.7049366160628 -4.32550314459217 0 26.030439760655
136 22 32 "F" 1 0 2 0 0.626667 3.79831362894519 -8.57486211385815 0 12.3731757428033
137 28 93 "M" 1 3 1 0 0.52 4.16993167966658 -3.03309836724078 0 7.20303004690736
138 28 83 "F" 1 0 0 0 0.573333 23.2088232503844 3.75945218859504 0 19.4493710617894
139 7 73 "M" 1 0 0 0 0.63 4.62508981574978 3.5638674396439 0 1.06122237610588
140 7 38 "M" 1 0 0 0 0.503333 21.8647473843875 7.27997826279165 0 14.5847691215958
141 6 57 "F" 1 0 0 0 0.49 2.9381929442147 -5.62341938414776 0 8.56161232836246
142 6 90 "M" 1 2 3 0 0.526667 -0.705411329953314 -12.1181717529324 0 11.4127604229791
143 26 55 "M" 1 0 0 0 0.566667 25.1672905366218 12.2367514244302 0 12.9305391121917
144 26 45 "F" 1 0 0 0 0.573333 9.31817618140805 0.526435002500918 0 8.79174117890713
145 21 43 "M" 1 2 4 0 0.493333 12.5825182502807 7.54162222797529 0 5.04089602230536
146 21 40 "F" 1 1 1 0 0.526667 26.9867221785972 15.8201233881459 0 11.1665987904513
147 8 76 "M" 1 0 0 0 0.57 38.4810243558978 9.88720666605206 0 28.5938176898458
148 8 58 "M" 1 0 0 0 0.526667 15.0904226154848 -0.758892787951976 0 15.8493154034368
149 2 82 "M" 1 0 0 0 0.586667 22.1201383776418 7.83964122472845 0 14.2804971529133
150 2 95 "F" 1 1 1 0 0.526667 5.34597768104999 0.00529487795292277 0 5.34068280309706
151 11 85 "M" 1 3 2 0 0.57 28.3609744686502 1.91862971448512 0 26.4423447541651
152 11 48 "F" 1 1 1 0 0.56 15.4104276650987 3.40088092191956 0 12.0095467431792
153 20 59 "F" 1 0 0 0 0.6 21.4974147393968 6.50794454162713 0 14.9894701977697
154 20 99 "F" 1 0 0 0 0.51 -9.57821874559117 -0.186090869296973 0 -9.39212787629419
155 17 50 "F" 1 0 0 0 0.523333 0.0684226268449759 -11.6754257076888 0 11.7438483345338
156 17 98 "M" 1 3 1 0 0.493333 -2.05046076710775 -3.92281143948245 0 1.8723506723747
157 29 100 "M" 1 0 0 0 0.586667 2.51129124729622 -9.90415127472985 0 12.4154425220261
158 29 69 "M" 1 0 0 0 0.52 1.42596559442532 -19.6037670855076 0 21.0297326799329
159 30 74 "M" 1 0 0 0 0.496667 28.2333623670797 16.5289156106755 0 11.7044467564042
160 30 86 "F" 1 1 1 0 0.513333 14.8087154760469 13.2857750471399 0 1.522940428907
161 25 46 "M" 1 0 0 0 0.546667 8.28647200327132 0.287262480734468 0 7.99920952253685
162 25 79 "M" 1 0 0 0 0.546667 9.81293449514096 0.541621845097997 0 9.27131265004296
163 1 42 "F" 1 1 1 0 0.553333 18.89071921208 1.12991606214119 0 17.7608031499388
164 1 68 "F" 1 0 0 0 0.523333 29.9905412633626 2.73927194058948 0 27.2512693227731
165 13 96 "M" 1 0 0 0 0.56 11.3581434350247 0.71089826897784 0 10.6472451660469
166 13 92 "F" 1 0 0 0 0.59 7.71814289178753 -4.55604334462064 0 12.2741862364082
167 18 75 "M" 1 0 0 0 0.52 41.8372299210615 11.9964258192371 0 29.8408041018244
168 18 66 "F" 1 0 0 0 0.543333 26.1954092405746 6.56046350700675 0 19.6349457335679
169 27 37 "M" 1 3 1 0 0.566667 5.67428282064931 -8.84161093148457 0 14.5158937521339
170 27 34 "M" 1 0 0 0 0.556667 -3.91401900241576 2.99130804522591 0 -6.90532704764167
171 6 152 "M" 2 0 0 0 0.576667 6.40941817792165 -0.297093405559504 0 6.70651158348115
172 6 88 "M" 2 0 0 0 0.463333 2.51192513738144 -8.14542825118907 0 10.6573533885705
173 6 82 "F" 2 1 0 0 0.553333 13.6429783398212 -8.05298828977164 0 21.6959666295928
174 145 34 "F" 2 0 0 0 0.54 -16.1548319099258 -7.12035693282349 0 -9.03447497710231
175 145 109 "F" 2 0 1 0 0.53 10.8282384110605 -13.7189244244193 0 24.5471628354798
176 145 81 "M" 2 0 2 0 0.596667 -17.6369995506698 -0.204286722848689 0 -17.4327128278211
177 151 67 "M" 2 0 0 0 0.596667 23.5916971044793 9.81089506450138 0 13.7808020399779
178 151 136 "F" 2 0 0 0 0.54 14.7586342163364 -5.88429785628688 0 20.6429320726233
179 151 51 "M" 2 0 3 0 0.503333 10.752317000188 -9.42694229027628 0 20.1792592904643
180 127 114 "F" 2 0 0 0 0.516667 -5.5335608150832 -20.4719886498255 0 14.9384278347423
181 127 99 "M" 2 0 0 0 0.523333 -0.73245994490407 4.40887344877912 0 -5.14133339368319
182 127 64 "M" 2 0 0 0 0.546667 18.9952938351056 10.2116555992149 0 8.78363823589071
183 7 57 "F" 2 0 0 0 0.563333 -15.9822491577839 -6.70870729448808 0 -9.27354186329583
184 7 100 "M" 2 0 0 0 0.533333 18.8807586145828 -3.65187705100815 0 22.5326356655909
185 7 70 "F" 2 0 1 0 0.596667 -4.15115120045236 2.19778060910005 0 -6.34893180955241
186 29 128 "F" 2 0 0 0 0.51 -5.2857190655531 -6.91267625239082 0 1.62695718683772
187 29 75 "F" 2 0 0 0 0.61 -9.43904868448988 -19.8547244752166 0 10.4156757907267
188 29 80 "M" 2 0 0 0 0.576667 24.0766645324453 2.70339089460759 0 21.3732736378377
189 130 79 "F" 2 1 0 0 0.56 26.9819960198131 15.520820139735 0 11.4611758800781
190 130 68 "M" 2 0 0 0 0.54 6.41656822877339 -12.131962118044 0 18.5485303468174
191 130 96 "F" 2 0 0 0 0.576667 10.0952972912344 -5.06636419767277 0 15.1616614889072
192 24 44 "M" 2 0 2 0 0.556667 25.282705117326 1.82737717445131 0 23.4553279428747
193 24 63 "M" 2 1 1 0 0.576667 12.3229415545796 -3.53749344812726 0 15.8604350027069
194 24 91 "F" 2 0 1 0 0.516667 17.6691249473996 13.6751958594051 0 3.99392908799449
195 18 103 "F" 2 0 0 0 0.516667 9.43246879555604 2.36923501528758 0 7.06323378026846
196 18 78 "M" 2 0 0 0 0.576667 6.4535433481213 -13.0845758160224 0 19.5381191641437
197 18 53 "F" 2 0 0 0 0.546667 28.2979502178216 8.08516349249849 0 20.2127867253231
198 10 33 "F" 2 0 0 0 0.536667 13.0222584121409 11.8118130135219 0 1.21044539861904
199 10 117 "M" 2 0 0 0.25 0.87 1.00840912267271 2.72158873347629 0 -1.71317961080358
200 10 150 "M" 2 0 0 0 0.52 -10.7341567313183 -6.11785900878517 0 -4.61629772253314
201 169 89 "M" 2 1 1 0 0.61 10.6842710588789 -4.43574536959984 0 15.1200164284788
202 169 49 "F" 2 0 0 0 0.54 -5.28334152936423 -3.97665311269653 0 -1.3066884166677
203 126 97 "M" 2 0 0 0 0.553333 28.7067307008633 13.3188476792321 0 15.3878830216312
204 126 31 "F" 2 0 0 0 0.536667 28.1481967339476 7.01168675396116 0 21.1365099799865
205 116 35 "F" 2 0 0 0 0.566667 2.33068129613744 -6.70940999431442 0 9.04009129045186
206 116 59 "M" 2 2 1 0 0.556667 9.13320551322324 -10.1980170206611 0 19.3312225338844
207 2 74 "F" 2 0 0 0 0.563333 -4.48576961934558 2.46925313876353 0 -6.95502275810911
208 2 50 "F" 2 0 0 0 0.58 6.96497519727689 4.2802154005739 0 2.68475979670299
209 105 95 "F" 2 0 1 0 0.58 16.2489211018427 -3.44855438331371 0 19.6974754851564
210 105 43 "M" 2 0 0 0 0.533333 32.0000189189773 21.3363197189876 0 10.6636991999897
211 1 107 "M" 2 1 1 0 0.6 34.0465133290415 15.1923716546495 0 18.854141674392
212 1 84 "M" 2 1 1 0 0.523333 17.891389267477 -5.40832084818979 0 23.2997101156668
213 26 93 "M" 2 2 0 0 0.553333 5.73533728053492 -6.13342634440608 0 11.868763624941
214 26 146 "M" 2 0 0 0 0.533333 17.2800070027487 -1.88794119411306 0 19.1679481968618
215 133 73 "M" 2 2 0 0 0.513333 34.9186853029656 2.17069010794883 0 32.7479951950168
216 133 90 "F" 2 1 0 0 0.536667 30.3228555333881 12.4023128533373 0 17.9205426800508
217 137 110 "M" 2 0 0 0 0.556667 10.8592814799547 -0.530479824243735 0 11.3897613041985
218 137 38 "M" 2 0 0 0 0.493333 22.5268499572632 5.28887228580967 0 17.2379776714535
219 119 86 "F" 2 0 1 0 0.553333 -14.8156951217554 -13.3267244409869 0 -1.48897068076854
220 119 47 "M" 2 1 1 0 0.543333 -5.35391759617176 -25.9130709426127 0 20.559153346441
221 27 61 "F" 2 0 1 0 0.563333 -8.37035499490594 -10.2334646078982 0 1.8631096129923
222 27 58 "F" 2 0 1 0 0.506667 17.7977321506717 6.39808775947289 0 11.3996443911988
223 25 45 "M" 2 0 0 0 0.516667 -13.129317056461 -21.4368328271778 0 8.30751577071681
224 25 69 "F" 2 0 0 0 0.56 24.1744321127043 -5.67925218180488 0 29.8536842945092
225 121 52 "M" 2 1 1 0 0.59 20.6201629121926 1.42912937318822 0 19.1910335390043
226 121 98 "F" 2 0 1 0 0.513333 28.2066303324613 6.12763253169189 0 22.0789978007694
227 28 66 "M" 2 0 0 0 0.586667 21.170409974444 15.1575208759012 0 6.01288909854286
228 28 163 "M" 2 2 1 0 0.533333 10.8326107734249 4.76445130754217 0 6.06815946588277
229 9 77 "F" 2 1 0 0 0.513333 30.2105630950824 6.92309683922076 0 23.2874662558616
230 9 41 "M" 2 0 0 0 0.576667 3.22340191352463 -12.1011869387999 0 15.3245888523246
231 156 83 "M" 2 0 0 0 0.593333 13.1478124013322 8.70410975602925 0 4.44370264530292
232 156 36 "M" 2 0 0 0 0.553333 6.66831822187391 8.80519383124351 0 -2.13687560936959
233 14 56 "F" 2 0 0 0 0.59 19.8140911895919 -4.83696200264583 0 24.6510531922377
234 14 40 "F" 2 0 0 0 0.56 26.9054961888342 1.58606526573086 0 25.3194309231034
235 142 39 "M" 2 2 1 0 0.55 5.12296658878731 -0.381779080087448 0 5.50474566887476
236 142 42 "F" 2 1 0 0 0.573333 -2.27449441307334 -19.2809527110629 0 17.0064582979895
237 112 60 "F" 2 1 0 0 0.573333 4.07573418895907 6.38054031297372 0 -2.30480612401465
238 112 54 "M" 2 0 0 0 0.57 -1.63108041584859 -8.8306644950439 0 7.19958407919531
239 21 160 "M" 2 0 2 0 0.586667 -20.0895631785613 -19.6827867764543 0 -0.40677640210697
240 21 111 "F" 2 0 0 0 0.573333 -18.5960242511146 -14.7733768275142 0 -3.82264742360045
241 179 73 "F" 3 0 0 0 0.6 37.6753573842238 9.82390516424074 0 27.851452219983
242 179 88 "F" 3 0 0 0 0.566667 14.3508880929608 -1.30539748104409 0 15.6562855740049
243 179 44 "F" 3 0 0 0 0.566667 34.6860209317259 6.70884096319611 0 27.9771799685298
244 121 64 "F" 3 0 0 0 0.53 1.92694694191552 -4.63628580805619 0 6.56323274997171
245 121 80 "F" 3 0 0 0 0.52 36.2113318548087 14.5095238780277 0 21.7018079767809
246 121 160 "F" 3 0 0 0 0.586667 1.42638475063626 -8.8597347360284 0 10.2861194866647
247 119 58 "F" 3 0 0 0 0.543333 15.0717477538965 13.953739617629 0 1.11800813626749
